Date,Time,T1_CPD
2-Nov-2023,08:34:30.80101,10.92
2-Nov-2023,08:35:50.15625,10.93
2-Nov-2023,16:26:20.78125,11.01
2-Nov-2023,23:02:57.65625,10.91
3-Nov-2023,06:55:11.25,10.70
3-Nov-2023,14:45:46.3125,10.76
3-Nov-2023,22:36:14.6875,10.79
4-Nov-2023,06:32:13.125,10.74
4-Nov-2023,14:22:41.0625,10.78
4-Nov-2023,22:13:15.125,10.84
5-Nov-2023,05:03:47.96875,10.69
5-Nov-2023,12:54:24.3125,10.74
5-Nov-2023,20:33:04.84375,10.68
5-Nov-2023,20:39:39.125,10.46
5-Nov-2023,20:42:35.6875,9.93
5-Nov-2023,20:47:33.90625,10.26
5-Nov-2023,21:10:58.71875,10.51
5-Nov-2023,21:11:19.78125,10.83
6-Nov-2023,05:01:48.09375,10.72
6-Nov-2023,12:52:22.65625,10.76
6-Nov-2023,20:42:52.9375,10.86
7-Nov-2023,04:33:21.09375,10.83
7-Nov-2023,12:23:53.4375,10.83
7-Nov-2023,20:14:18.6875,10.91
8-Nov-2023,04:04:56.96875,10.86
8-Nov-2023,11:55:32.0625,10.86
8-Nov-2023,19:52:14.375,11.02
9-Nov-2023,03:42:43.40625,10.91
9-Nov-2023,09:57:43.84375,11.04
9-Nov-2023,17:50:12.03125,11.20
10-Nov-2023,01:40:45.0625,11.28
10-Nov-2023,09:31:19.125,11.23
10-Nov-2023,17:21:43.53125,11.31
11-Nov-2023,01:12:16.6875,11.33
11-Nov-2023,01:52:58.15625,11.30
11-Nov-2023,01:52:59.15625,0.00
11-Nov-2023,01:53:00.15625,11.30
11-Nov-2023,07:22:38.3125,11.23
11-Nov-2023,07:22:38.3125,Bad
11-Nov-2023,07:27:02.625,11.23
11-Nov-2023,07:28:03.5,11.24
11-Nov-2023,07:28:03.5,Bad
11-Nov-2023,07:28:03.5,11.24
11-Nov-2023,07:28:03.5,Bad
11-Nov-2023,07:32:22.5625,11.23
11-Nov-2023,07:44:25.90625,11.25
11-Nov-2023,07:44:25.90625,Bad
11-Nov-2023,07:44:25.90625,11.25
11-Nov-2023,07:44:25.90625,Bad
11-Nov-2023,07:49:13.71875,11.23
11-Nov-2023,15:06:18.125,11.19
11-Nov-2023,23:06:08.3125,11.38
12-Nov-2023,06:56:34.90625,11.25
12-Nov-2023,13:12:46.875,11.29
12-Nov-2023,13:12:47.875,83.74
12-Nov-2023,13:12:48.90625,11.29
12-Nov-2023,21:03:14.65625,11.37
13-Nov-2023,04:53:40.5,11.27
13-Nov-2023,12:44:10.9375,11.33
13-Nov-2023,20:34:41.375,11.37
14-Nov-2023,04:25:14.75,11.31
14-Nov-2023,12:15:42.6875,11.33
14-Nov-2023,20:06:10.96875,11.37
15-Nov-2023,03:56:36.1875,11.31
15-Nov-2023,11:47:00.65625,11.35
15-Nov-2023,19:37:36.40625,11.39
16-Nov-2023,03:28:06.96875,11.33
16-Nov-2023,11:18:36.625,11.29
16-Nov-2023,19:09:02.4375,11.33
17-Nov-2023,02:59:32.9375,11.31
17-Nov-2023,10:49:56.96875,11.31
17-Nov-2023,18:40:25.46875,11.36
18-Nov-2023,02:30:57.5,11.36
18-Nov-2023,10:23:07.15625,11.32
18-Nov-2023,18:13:33.125,11.37
19-Nov-2023,02:04:06.9375,11.33
19-Nov-2023,09:54:37.90625,11.33
19-Nov-2023,17:45:05.40625,11.36
20-Nov-2023,01:35:36.90625,11.37
20-Nov-2023,09:26:06.125,11.30
20-Nov-2023,17:16:34.15625,11.34
21-Nov-2023,01:07:00.28125,11.31
21-Nov-2023,08:57:30.875,11.23
21-Nov-2023,16:47:57.5625,11.32
22-Nov-2023,00:38:22.09375,11.29
22-Nov-2023,01:26:37.84375,11.01
22-Nov-2023,01:27:08.90625,10.73
22-Nov-2023,01:27:09.90625,10.99
22-Nov-2023,01:27:33.15625,10.83
22-Nov-2023,01:27:36.15625,10.98
22-Nov-2023,01:27:38.15625,10.71
22-Nov-2023,01:27:40.15625,1.84
22-Nov-2023,01:27:43.15625,0.93
22-Nov-2023,01:27:52.15625,0.35
22-Nov-2023,01:28:24.21875,0.13
22-Nov-2023,06:15:38.25,0.22
22-Nov-2023,06:16:00.28125,1.28
22-Nov-2023,06:16:14.34375,3.24
22-Nov-2023,06:16:18.375,4.13
22-Nov-2023,06:16:19.375,4.18
22-Nov-2023,06:16:21.375,5.10
22-Nov-2023,06:16:22.40625,4.32
22-Nov-2023,06:16:24.40625,6.12
22-Nov-2023,06:16:25.40625,4.38
22-Nov-2023,06:16:26.40625,5.11
22-Nov-2023,06:16:27.40625,7.09
22-Nov-2023,06:16:28.40625,5.12
22-Nov-2023,06:16:29.40625,4.97
22-Nov-2023,06:16:30.40625,7.18
22-Nov-2023,06:16:31.40625,6.19
22-Nov-2023,06:16:32.40625,4.67
22-Nov-2023,06:16:33.40625,6.60
22-Nov-2023,06:16:34.40625,7.32
22-Nov-2023,06:16:35.40625,5.99
22-Nov-2023,06:16:36.40625,6.26
22-Nov-2023,06:16:37.40625,7.30
22-Nov-2023,06:16:38.40625,7.80
22-Nov-2023,06:16:43.40625,7.10
22-Nov-2023,06:23:10.21875,7.31
22-Nov-2023,06:28:36.78125,8.27
22-Nov-2023,06:31:34.375,8.75
22-Nov-2023,06:32:50.53125,9.32
22-Nov-2023,07:28:31.15625,9.94
22-Nov-2023,15:19:05.125,10.30
22-Nov-2023,23:09:33.59375,10.39
23-Nov-2023,01:21:39.6875,10.46
23-Nov-2023,02:06:08.875,10.17
23-Nov-2023,04:43:00.5625,10.09
23-Nov-2023,06:01:49.59375,9.73
23-Nov-2023,07:45:38.84375,9.77
23-Nov-2023,07:47:27.25,10.09
23-Nov-2023,07:47:54.3125,10.55
23-Nov-2023,07:49:29.5,11.34
23-Nov-2023,15:46:41.8125,11.13
23-Nov-2023,23:37:10.46875,11.08
24-Nov-2023,07:27:42.21875,10.98
24-Nov-2023,15:18:11.03125,11.11
24-Nov-2023,23:08:37.15625,11.14
25-Nov-2023,06:59:07.71875,11.10
25-Nov-2023,09:18:01.34375,10.90
25-Nov-2023,09:19:11.5625,10.01
25-Nov-2023,09:20:22.875,9.78
25-Nov-2023,09:20:41.96875,9.43
25-Nov-2023,09:22:12.46875,9.15
25-Nov-2023,09:23:03.53125,8.53
25-Nov-2023,09:23:48.65625,7.83
25-Nov-2023,09:24:02.71875,7.94
25-Nov-2023,09:24:09.71875,5.43
25-Nov-2023,09:24:15.71875,2.86
25-Nov-2023,09:24:18.71875,2.38
25-Nov-2023,09:28:57.4375,2.32
25-Nov-2023,09:28:59.4375,1.01
25-Nov-2023,09:29:10.4375,0.29
25-Nov-2023,13:08:39.15625,0.00
25-Nov-2023,20:59:12.8125,-0.01
26-Nov-2023,04:49:37.53125,-0.01
26-Nov-2023,12:40:02.53125,0.01
26-Nov-2023,20:30:33.28125,0.00
27-Nov-2023,04:21:06.8125,0.00
27-Nov-2023,12:11:37.09375,0.01
27-Nov-2023,12:11:37.09375,0.01
27-Nov-2023,12:29:15.4375,0.02
27-Nov-2023,20:19:49.5,0.00
28-Nov-2023,04:10:20.84375,-0.01
28-Nov-2023,12:00:48.46875,0.01
28-Nov-2023,19:51:19.59375,-0.01
29-Nov-2023,03:41:53.375,-0.02
29-Nov-2023,11:32:24.21875,0.00
29-Nov-2023,19:22:54.71875,0.00
30-Nov-2023,03:13:23.75,-0.02
30-Nov-2023,11:03:56,0.00
30-Nov-2023,18:54:32.59375,0.00
1-Dec-2023,02:45:01.65625,-0.01
1-Dec-2023,10:35:30.09375,0.00
1-Dec-2023,18:26:02.34375,0.01
2-Dec-2023,02:16:33.34375,0.00
2-Dec-2023,10:06:57.03125,0.02
2-Dec-2023,17:57:31.875,0.01
3-Dec-2023,01:47:57.09375,0.00
3-Dec-2023,09:38:29.46875,0.00
3-Dec-2023,17:29:01.71875,0.00
4-Dec-2023,01:19:36.3125,0.00
4-Dec-2023,01:57:30.21875,Bad
4-Dec-2023,02:59:47.6875,0.00
4-Dec-2023,03:01:12.75,-0.01
4-Dec-2023,03:01:12.75,Bad
4-Dec-2023,03:02:17.09375,0.00
4-Dec-2023,10:52:41.96875,0.01
4-Dec-2023,18:43:01.125,0.00
5-Dec-2023,02:33:27.96875,0.00
5-Dec-2023,10:24:04.03125,0.00
5-Dec-2023,18:14:29.53125,0.00
6-Dec-2023,02:04:56.875,0.00
6-Dec-2023,09:55:21.3125,0.00
6-Dec-2023,17:45:59.6875,0.00
7-Dec-2023,01:36:30.71875,-0.01
7-Dec-2023,09:26:53.78125,-0.01
7-Dec-2023,17:17:14.78125,0.00
8-Dec-2023,01:07:42,-0.01
8-Dec-2023,08:58:07.59375,0.00
8-Dec-2023,10:10:49.59375,0.22
8-Dec-2023,10:11:10.6875,1.49
8-Dec-2023,10:11:23.6875,3.57
8-Dec-2023,10:11:28.6875,5.00
8-Dec-2023,10:11:29.6875,5.38
8-Dec-2023,10:11:30.6875,5.13
8-Dec-2023,10:11:31.6875,5.46
8-Dec-2023,10:11:32.6875,6.46
8-Dec-2023,10:11:33.6875,5.86
8-Dec-2023,10:11:34.6875,5.86
8-Dec-2023,10:11:35.6875,7.39
8-Dec-2023,10:11:37.6875,6.32
8-Dec-2023,10:11:38.6875,7.54
8-Dec-2023,10:11:39.6875,7.92
8-Dec-2023,10:11:40.6875,7.52
8-Dec-2023,10:11:43.6875,8.43
8-Dec-2023,10:11:49.71875,8.16
8-Dec-2023,10:13:49.5,8.08
8-Dec-2023,10:14:28.53125,8.70
8-Dec-2023,10:17:07.5625,9.13
8-Dec-2023,10:18:45.5625,10.89
8-Dec-2023,10:19:29.59375,11.32
8-Dec-2023,11:31:55.40625,11.70
8-Dec-2023,19:27:42.96875,11.54
9-Dec-2023,03:18:07.28125,11.56
9-Dec-2023,11:08:32.1875,11.57
9-Dec-2023,18:58:55.6875,11.64
10-Dec-2023,02:49:21.90625,11.61
10-Dec-2023,10:39:47.78125,11.61
10-Dec-2023,18:30:15.21875,11.63
11-Dec-2023,02:20:40.5625,11.60
11-Dec-2023,10:11:07.125,11.56
11-Dec-2023,18:01:32.03125,11.59
12-Dec-2023,01:51:57,11.56
12-Dec-2023,09:42:20.25,11.51
12-Dec-2023,17:32:43.9375,11.57
13-Dec-2023,00:52:48.1875,11.39
13-Dec-2023,00:55:35.375,10.08
13-Dec-2023,00:56:41.5,9.60
13-Dec-2023,01:00:26.65625,9.74
13-Dec-2023,01:00:46.71875,9.95
13-Dec-2023,01:09:48.71875,9.73
13-Dec-2023,01:11:25.84375,7.54
13-Dec-2023,01:11:30.84375,8.01
13-Dec-2023,01:12:17.90625,7.96
13-Dec-2023,01:12:24.90625,5.34
13-Dec-2023,01:12:30.90625,2.75
13-Dec-2023,01:12:32.90625,2.38
13-Dec-2023,01:17:11.1875,2.24
13-Dec-2023,01:17:14.1875,0.92
13-Dec-2023,01:17:24.1875,0.27
13-Dec-2023,02:53:33.78125,0.01
13-Dec-2023,10:43:58.03125,0.03
13-Dec-2023,18:34:16.21875,0.00
14-Dec-2023,02:24:35.96875,0.00
14-Dec-2023,10:14:52.59375,0.01
14-Dec-2023,18:05:13.53125,0.00
15-Dec-2023,01:55:35.1875,0.00
15-Dec-2023,09:46:03.46875,0.00
15-Dec-2023,17:36:29.375,0.00
16-Dec-2023,01:26:56.90625,-0.02
16-Dec-2023,09:17:23.5625,-0.01
16-Dec-2023,17:07:53.59375,-0.01
17-Dec-2023,00:58:24.09375,-0.01
17-Dec-2023,08:48:51,0.00
17-Dec-2023,16:39:15.40625,-0.01
18-Dec-2023,00:29:46.625,-0.01
18-Dec-2023,08:20:17.71875,-0.01
18-Dec-2023,16:10:53,-0.01
19-Dec-2023,00:01:20.8125,-0.03
19-Dec-2023,07:51:52.8125,-0.02
19-Dec-2023,15:42:24.1875,-0.02
19-Dec-2023,23:32:57.90625,-0.02
20-Dec-2023,07:23:29.28125,-0.02
20-Dec-2023,15:13:56.21875,-0.01
20-Dec-2023,23:04:28.84375,-0.03
21-Dec-2023,06:55:00.625,-0.02
21-Dec-2023,14:45:34.0625,-0.01
21-Dec-2023,22:36:06.25,-0.03
22-Dec-2023,06:26:37.71875,-0.02
22-Dec-2023,14:17:10.09375,-0.01
22-Dec-2023,22:07:47.46875,-0.03
23-Dec-2023,05:58:18.25,-0.02
23-Dec-2023,13:48:45.65625,-0.01
23-Dec-2023,21:39:18,-0.01
24-Dec-2023,05:29:49.59375,-0.01
24-Dec-2023,13:20:17.03125,-0.01
24-Dec-2023,21:10:41.03125,-0.01
25-Dec-2023,05:01:01.65625,-0.01
25-Dec-2023,12:51:23.4375,-0.01
25-Dec-2023,20:41:44.84375,-0.01
26-Dec-2023,04:32:08.34375,-0.01
26-Dec-2023,12:22:35.9375,0.00
26-Dec-2023,20:13:08.15625,0.00
27-Dec-2023,04:03:30.71875,0.00
27-Dec-2023,11:54:00.59375,0.00
27-Dec-2023,19:44:35.625,-0.01
28-Dec-2023,03:35:04.28125,-0.01
28-Dec-2023,11:25:28.46875,0.00
28-Dec-2023,19:15:52.84375,-0.01
29-Dec-2023,03:06:21.34375,-0.02
29-Dec-2023,10:56:54,-0.01
29-Dec-2023,18:47:21.25,-0.01
30-Dec-2023,02:37:47.125,-0.02
30-Dec-2023,10:28:14.5625,-0.01
30-Dec-2023,18:18:49.46875,-0.01
31-Dec-2023,02:09:20.84375,-0.02
31-Dec-2023,09:59:48.78125,-0.01
31-Dec-2023,17:50:08.25,-0.01
1-Jan-2024,01:40:32.75,-0.02
1-Jan-2024,09:30:51.75,-0.01
1-Jan-2024,17:21:13.90625,-0.01
2-Jan-2024,01:11:34.625,-0.02
2-Jan-2024,09:02:05.65625,-0.01
2-Jan-2024,16:52:36.5625,-0.01
3-Jan-2024,00:43:05.59375,-0.03
3-Jan-2024,08:33:34.28125,-0.01
3-Jan-2024,16:24:04.5625,-0.01
4-Jan-2024,00:14:36.4375,-0.02
4-Jan-2024,08:05:09.75,0.00
4-Jan-2024,15:55:34.90625,-0.01
4-Jan-2024,23:46:01.53125,-0.01
5-Jan-2024,07:36:26.46875,-0.01
5-Jan-2024,15:26:59.40625,-0.01
5-Jan-2024,23:17:35.78125,-0.01
6-Jan-2024,07:08:05.4375,-0.01
6-Jan-2024,14:58:35.09375,-0.01
6-Jan-2024,22:49:07.59375,-0.01
7-Jan-2024,06:39:40.0625,-0.02
7-Jan-2024,14:30:20.84375,-0.01
7-Jan-2024,22:20:50.625,-0.03
8-Jan-2024,06:11:23.625,-0.01
8-Jan-2024,14:01:49.09375,-0.01
8-Jan-2024,21:52:19.875,-0.02
9-Jan-2024,05:42:50.65625,-0.02
9-Jan-2024,13:33:22.90625,-0.01
9-Jan-2024,21:23:55.125,-0.01
10-Jan-2024,05:14:25.03125,-0.02
10-Jan-2024,13:04:56.09375,0.00
10-Jan-2024,20:55:24.65625,-0.01
11-Jan-2024,04:45:53.53125,-0.01
11-Jan-2024,12:36:25.84375,0.00
11-Jan-2024,20:26:53.71875,-0.01
12-Jan-2024,04:17:24.96875,-0.01
12-Jan-2024,12:08:01.125,-0.01
12-Jan-2024,19:58:36.0625,-0.01
13-Jan-2024,03:49:09.78125,-0.01
13-Jan-2024,11:39:37.5,0.00
13-Jan-2024,19:30:07.3125,-0.01
14-Jan-2024,03:20:39.5625,-0.01
14-Jan-2024,11:11:14.75,0.00
14-Jan-2024,19:01:48.125,-0.01
15-Jan-2024,02:52:16.5625,-0.02
15-Jan-2024,10:42:42.03125,-0.01
15-Jan-2024,18:33:11.90625,-0.01
16-Jan-2024,02:23:35.71875,-0.02
16-Jan-2024,10:14:05.375,0.00
16-Jan-2024,14:04:16.5,0.00
24-Jan-2024,08:08:17.34375,0.00
24-Jan-2024,08:09:23.375,-0.01
24-Jan-2024,15:59:51.125,0.00
24-Jan-2024,23:50:17,-0.01
25-Jan-2024,07:40:38.6875,0.00
25-Jan-2024,15:31:03.65625,0.00
25-Jan-2024,23:21:27.65625,-0.01
26-Jan-2024,07:11:54.8125,-0.01
26-Jan-2024,15:02:20.125,0.00
26-Jan-2024,22:52:37.15625,-0.01
27-Jan-2024,06:42:59.875,0.00
27-Jan-2024,14:33:24.59375,0.00
27-Jan-2024,22:23:50.15625,0.00
28-Jan-2024,06:14:17.71875,-0.01
28-Jan-2024,14:04:38.34375,0.00
28-Jan-2024,21:55:00.78125,0.00
29-Jan-2024,05:45:31.625,0.00
29-Jan-2024,06:28:22.4375,0.00
29-Jan-2024,06:29:23.53125,0.00
29-Jan-2024,13:17:32.21875,0.00
29-Jan-2024,13:17:32.21875,Bad
29-Jan-2024,13:17:39.21875,0.00
29-Jan-2024,21:07:59.0625,0.00
30-Jan-2024,04:58:20.03125,0.00
30-Jan-2024,12:48:42.875,0.00
30-Jan-2024,20:39:08.40625,-0.01
31-Jan-2024,04:29:36.03125,-0.01
31-Jan-2024,12:20:00.46875,0.00
31-Jan-2024,20:10:20.40625,-0.01
1-Feb-2024,04:00:46.125,-0.01
1-Feb-2024,11:51:12.28125,0.00
1-Feb-2024,19:41:38.3125,0.00
2-Feb-2024,03:31:54.53125,-0.01
2-Feb-2024,11:22:18.09375,-0.01
2-Feb-2024,19:12:40.5625,0.00
3-Feb-2024,03:03:04.53125,-0.01
3-Feb-2024,10:53:27.9375,0.00
3-Feb-2024,18:43:52.875,0.00
4-Feb-2024,02:34:13.1875,-0.01
4-Feb-2024,10:24:37.09375,0.00
4-Feb-2024,18:15:04.625,0.00
5-Feb-2024,02:05:29.9375,0.00
5-Feb-2024,09:55:53.28125,0.00
5-Feb-2024,17:46:12.53125,0.00
6-Feb-2024,01:36:38.375,0.00
6-Feb-2024,09:27:06.40625,0.00
6-Feb-2024,17:17:31.59375,0.00
7-Feb-2024,01:07:56.375,-0.01
7-Feb-2024,08:58:15.625,0.00
7-Feb-2024,16:48:42.21875,0.00
8-Feb-2024,00:39:06.21875,-0.01
8-Feb-2024,08:29:33.84375,0.00
8-Feb-2024,16:19:49.96875,0.00
9-Feb-2024,00:10:16.625,-0.01
9-Feb-2024,08:00:42.625,0.00
9-Feb-2024,15:51:06.6875,0.00
9-Feb-2024,23:41:24.28125,0.00
10-Feb-2024,07:31:55.25,0.00
10-Feb-2024,15:22:27.5,0.01
10-Feb-2024,23:12:59.4375,0.01
11-Feb-2024,07:03:28.40625,0.00
11-Feb-2024,14:54:01.3125,0.01
11-Feb-2024,22:44:34.34375,0.00
12-Feb-2024,06:35:07.8125,0.00
12-Feb-2024,14:25:35.6875,0.00
12-Feb-2024,22:16:07.59375,0.00
13-Feb-2024,06:06:39.09375,0.00
13-Feb-2024,13:57:12.375,0.01
13-Feb-2024,21:47:45.3125,0.00
14-Feb-2024,02:54:26.59375,0.21
14-Feb-2024,02:54:46.59375,1.25
14-Feb-2024,02:55:00.59375,3.03
14-Feb-2024,02:55:04.59375,4.13
14-Feb-2024,02:55:06.59375,4.31
14-Feb-2024,02:55:07.59375,4.99
14-Feb-2024,02:55:08.59375,4.96
14-Feb-2024,02:55:09.59375,4.31
14-Feb-2024,02:55:10.59375,5.53
14-Feb-2024,02:55:11.59375,5.90
14-Feb-2024,02:55:12.59375,4.15
14-Feb-2024,02:55:14.59375,6.92
14-Feb-2024,02:55:15.59375,4.72
14-Feb-2024,02:55:16.59375,5.37
14-Feb-2024,02:55:17.59375,7.46
14-Feb-2024,02:55:18.59375,5.62
14-Feb-2024,02:55:19.59375,4.99
14-Feb-2024,02:55:20.59375,7.11
14-Feb-2024,02:55:21.59375,6.96
14-Feb-2024,02:55:22.59375,5.58
14-Feb-2024,02:55:24.59375,7.55
14-Feb-2024,02:55:26.59375,6.84
14-Feb-2024,02:55:29.59375,7.59
14-Feb-2024,02:55:34.59375,7.23
14-Feb-2024,03:01:02.59375,7.62
14-Feb-2024,03:04:58.96875,8.18
14-Feb-2024,03:05:22,8.61
14-Feb-2024,03:17:34.90625,9.31
14-Feb-2024,03:18:22.90625,9.64
14-Feb-2024,04:46:59.15625,10.20
14-Feb-2024,08:47:28.5625,10.59
14-Feb-2024,15:56:19.8125,10.91
14-Feb-2024,22:55:42.09375,11.17
15-Feb-2024,03:44:16.78125,11.32
15-Feb-2024,11:37:04.3125,11.44
15-Feb-2024,19:27:33.40625,11.42
16-Feb-2024,03:18:05.125,11.24
16-Feb-2024,11:16:32.125,10.92
16-Feb-2024,19:07:04.59375,10.97
17-Feb-2024,02:57:35.0625,10.91
17-Feb-2024,07:03:30.78125,10.76
17-Feb-2024,08:40:53.78125,10.45
17-Feb-2024,16:31:21.59375,10.55
18-Feb-2024,00:21:48.25,10.60
18-Feb-2024,00:38:36.0625,10.77
18-Feb-2024,08:29:05.3125,10.87
18-Feb-2024,09:01:57.53125,11.08
18-Feb-2024,15:21:08.125,11.43
18-Feb-2024,23:11:39.09375,11.45
19-Feb-2024,07:02:06.5,11.40
19-Feb-2024,14:52:34.90625,11.46
19-Feb-2024,22:43:04.25,11.50
20-Feb-2024,06:33:37.25,11.46
20-Feb-2024,14:24:05.28125,11.56
20-Feb-2024,22:14:26.40625,11.58
21-Feb-2024,06:04:50.875,11.51
21-Feb-2024,07:32:10.59375,11.33
21-Feb-2024,07:32:35.59375,10.93
21-Feb-2024,07:35:46.8125,10.51
21-Feb-2024,07:36:02.8125,10.21
21-Feb-2024,15:26:36.09375,10.14
21-Feb-2024,23:17:05.625,10.09
22-Feb-2024,07:07:29.53125,10.03
22-Feb-2024,08:59:07.8125,10.08
22-Feb-2024,09:00:00.8125,10.91
22-Feb-2024,16:56:13.9375,10.80
23-Feb-2024,00:46:34.1875,10.80
23-Feb-2024,08:36:56.25,10.71
23-Feb-2024,16:27:22.59375,10.78
24-Feb-2024,00:17:44.34375,10.83
24-Feb-2024,08:08:17.59375,10.74
24-Feb-2024,15:58:51.1875,10.80
24-Feb-2024,23:49:25,10.83
25-Feb-2024,07:39:51.4375,10.79
25-Feb-2024,15:30:15.4375,10.82
25-Feb-2024,23:20:38.34375,10.82
26-Feb-2024,07:10:58.1875,10.72
26-Feb-2024,15:01:19.96875,10.76
26-Feb-2024,22:51:45.6875,10.72
27-Feb-2024,06:42:13.25,10.65
27-Feb-2024,14:32:47.21875,10.72
27-Feb-2024,22:23:18.71875,10.75
28-Feb-2024,06:13:51.8125,10.72
28-Feb-2024,14:04:26.59375,10.80
28-Feb-2024,21:54:57.53125,10.83
29-Feb-2024,01:56:19.1875,10.71
29-Feb-2024,01:57:16.25,10.39
29-Feb-2024,02:00:52.59375,10.06
29-Feb-2024,02:01:19.625,9.70
29-Feb-2024,02:04:38.8125,9.96
29-Feb-2024,02:18:46.84375,9.58
29-Feb-2024,08:32:32.46875,9.57
29-Feb-2024,08:32:50.46875,9.89
29-Feb-2024,08:34:47.625,10.22
29-Feb-2024,08:41:38.84375,10.54
29-Feb-2024,16:32:13.28125,10.59
1-Mar-2024,00:22:45.5,10.59
1-Mar-2024,08:13:20.6875,10.55
1-Mar-2024,16:03:57.59375,10.61
1-Mar-2024,23:54:32.25,10.64
2-Mar-2024,00:37:01.34375,10.42
2-Mar-2024,00:37:16.34375,10.16
2-Mar-2024,00:38:44.34375,10.40
2-Mar-2024,00:40:07.34375,10.72
2-Mar-2024,08:30:37.90625,10.66
2-Mar-2024,16:20:58.9375,10.70
3-Mar-2024,00:11:23.625,10.70
3-Mar-2024,08:01:48.125,10.67
3-Mar-2024,15:52:07.8125,10.74
3-Mar-2024,23:42:36.25,10.72
4-Mar-2024,07:33:02.5625,10.70
4-Mar-2024,15:23:28,10.74
4-Mar-2024,21:00:39.96875,10.50
4-Mar-2024,22:45:23.40625,10.31
4-Mar-2024,22:48:22.5,9.87
5-Mar-2024,04:30:56.9375,9.94
5-Mar-2024,06:27:32.75,10.25
5-Mar-2024,09:40:10.9375,10.44
5-Mar-2024,17:30:33.21875,10.52
6-Mar-2024,01:20:54.125,10.45
6-Mar-2024,09:11:20.375,10.37
6-Mar-2024,17:01:47.15625,10.48
7-Mar-2024,00:52:12.9375,10.51
7-Mar-2024,08:42:34.3125,10.47
7-Mar-2024,16:32:59.1875,10.54
7-Mar-2024,22:11:56.34375,10.77
8-Mar-2024,06:02:21.84375,10.84
8-Mar-2024,13:52:41.78125,10.91
8-Mar-2024,21:43:05.09375,10.96
9-Mar-2024,05:33:31.8125,10.85
9-Mar-2024,13:23:58.4375,10.93
9-Mar-2024,21:14:19.25,11.03
10-Mar-2024,06:04:39.8125,10.91
10-Mar-2024,13:55:05.90625,11.00
10-Mar-2024,21:45:32.46875,11.03
11-Mar-2024,05:35:57.75,11.01
11-Mar-2024,13:26:20.53125,10.97
11-Mar-2024,21:16:38.5625,10.99
12-Mar-2024,05:06:59.03125,10.93
12-Mar-2024,12:57:23.125,10.92
12-Mar-2024,20:47:49.25,10.94
13-Mar-2024,04:38:13.15625,10.89
13-Mar-2024,12:28:32.96875,10.88
13-Mar-2024,20:18:56.53125,10.91
14-Mar-2024,04:09:19.75,10.88
14-Mar-2024,11:59:44.875,10.84
14-Mar-2024,19:53:03.5625,10.93
14-Mar-2024,19:53:57.71875,10.93
14-Mar-2024,19:53:58.71875,Bad
14-Mar-2024,20:03:02.90625,10.93
15-Mar-2024,03:53:29.78125,10.87
15-Mar-2024,11:43:52.6875,10.86
15-Mar-2024,19:34:19.5625,10.95
16-Mar-2024,03:24:43.375,10.91
16-Mar-2024,11:21:58.375,10.85
16-Mar-2024,19:12:20.90625,10.92
17-Mar-2024,03:02:40.8125,10.92
17-Mar-2024,10:53:05.90625,10.85
17-Mar-2024,18:43:29.3125,10.98
18-Mar-2024,02:33:50.90625,10.97
18-Mar-2024,10:24:18.3125,10.89
18-Mar-2024,18:14:40.84375,10.99
19-Mar-2024,02:05:08.3125,11.01
19-Mar-2024,09:55:27.8125,10.89
19-Mar-2024,17:45:58.28125,10.90
20-Mar-2024,01:36:30.65625,10.90
20-Mar-2024,09:27:03.25,10.83
20-Mar-2024,17:17:27.15625,10.95
21-Mar-2024,01:08:01.96875,10.91
21-Mar-2024,08:58:30.1875,10.80
21-Mar-2024,16:48:57.4375,10.86
22-Mar-2024,00:39:27.71875,10.83
22-Mar-2024,03:50:24.28125,10.55
22-Mar-2024,03:52:14.28125,8.66
22-Mar-2024,04:20:10.6875,8.63
22-Mar-2024,04:20:39.6875,8.06
22-Mar-2024,04:21:51.75,8.06
22-Mar-2024,04:21:58.75,5.59
22-Mar-2024,04:22:05.8125,2.67
22-Mar-2024,04:22:07.8125,2.35
22-Mar-2024,04:26:45.90625,2.29
22-Mar-2024,04:26:48.90625,0.97
22-Mar-2024,04:27:01.90625,0.28
22-Mar-2024,12:17:47.09375,0.06
22-Mar-2024,20:08:20.78125,0.05
23-Mar-2024,03:58:47.9375,0.03
23-Mar-2024,11:27:54.75,0.04
23-Mar-2024,11:28:55.78125,0.03
23-Mar-2024,19:19:21.71875,0.03
24-Mar-2024,03:09:47.8125,0.03
24-Mar-2024,11:00:11.9375,0.03
24-Mar-2024,18:50:31.90625,0.03
25-Mar-2024,02:40:58.28125,0.03
25-Mar-2024,10:31:26.125,0.03
25-Mar-2024,18:21:50.5,0.04
26-Mar-2024,02:12:12.25,0.03
26-Mar-2024,10:02:38.875,0.03
26-Mar-2024,17:53:05.9375,0.04
27-Mar-2024,01:43:33.28125,0.02
27-Mar-2024,09:34:00.09375,0.02
27-Mar-2024,17:24:20.46875,0.01
28-Mar-2024,01:14:46.34375,0.00
28-Mar-2024,03:08:53.125,0.00
28-Mar-2024,03:09:13.125,0.00
28-Mar-2024,10:59:36.15625,0.03
28-Mar-2024,18:50:04.4375,0.02
29-Mar-2024,02:40:28.5,0.01
29-Mar-2024,10:30:49.3125,0.03
