Date,Time,T1_TTWS1AO
16-Feb-2024,18:38:07.1875,-18
17-Feb-2024,02:28:29.0625,-18
17-Feb-2024,10:18:46.90625,-18
17-Feb-2024,18:08:59.15625,-18
18-Feb-2024,01:59:17.71875,-18
18-Feb-2024,09:49:30.84375,-18
18-Feb-2024,17:39:46.125,-18
19-Feb-2024,01:30:06.21875,-18
19-Feb-2024,09:20:26.28125,-18
19-Feb-2024,17:10:39.75,-18
20-Feb-2024,01:00:50.59375,-18
20-Feb-2024,08:51:07.28125,-18
20-Feb-2024,16:41:26.71875,-18
21-Feb-2024,00:31:47.25,-18
21-Feb-2024,08:22:00.9375,-18
21-Feb-2024,16:12:14.6875,-18
22-Feb-2024,00:02:28.03125,-18
22-Feb-2024,07:52:40.9375,-18
22-Feb-2024,15:42:51.4375,-18
22-Feb-2024,23:33:00.09375,-18
23-Feb-2024,07:23:05.40625,-18
23-Feb-2024,15:13:17.0625,-18
23-Feb-2024,23:03:30.375,-18
24-Feb-2024,06:53:48.78125,-18
24-Feb-2024,14:44:10.375,-18
24-Feb-2024,22:34:40.5,-18
25-Feb-2024,06:24:56.5,-18
25-Feb-2024,14:15:05.40625,-18
25-Feb-2024,22:05:16.75,-18
26-Feb-2024,05:55:29.78125,-18
26-Feb-2024,13:45:42.65625,-18
26-Feb-2024,21:35:54.5,-18
27-Feb-2024,05:26:10.0625,-18
27-Feb-2024,13:16:34.8125,-18
27-Feb-2024,21:06:57.21875,-18
28-Feb-2024,04:57:21.9375,-18
28-Feb-2024,12:47:47.28125,-18
28-Feb-2024,20:38:11.40625,-18
29-Feb-2024,04:28:26.15625,-18
29-Feb-2024,12:18:49.90625,-18
29-Feb-2024,20:09:15.96875,-18
1-Mar-2024,03:59:39.09375,-18
1-Mar-2024,11:50:00.9375,-18
1-Mar-2024,19:40:24.28125,-18
2-Mar-2024,03:30:47.25,-18
2-Mar-2024,11:21:09.8125,-18
2-Mar-2024,19:11:14.875,-18
3-Mar-2024,03:01:29.09375,-18
3-Mar-2024,10:51:42.03125,-18
3-Mar-2024,18:42:00.09375,-18
4-Mar-2024,02:32:07.15625,-18
4-Mar-2024,10:22:21.1875,-18
4-Mar-2024,18:12:33.4375,-18
5-Mar-2024,02:02:39,-18
5-Mar-2024,09:52:57.09375,-18
5-Mar-2024,17:43:07.28125,-18
6-Mar-2024,01:33:16.3125,-18
6-Mar-2024,09:23:28.9375,-18
6-Mar-2024,17:13:43.125,-18
7-Mar-2024,01:03:49.5,-18
7-Mar-2024,08:53:55.3125,-18
7-Mar-2024,16:44:08.09375,-18
8-Mar-2024,00:34:27.78125,-18
8-Mar-2024,08:24:39.96875,-18
8-Mar-2024,16:14:52.90625,-18
9-Mar-2024,00:05:01.15625,-18
9-Mar-2024,07:55:12.09375,-18
9-Mar-2024,15:45:24.21875,-18
9-Mar-2024,23:35:30.34375,-18
10-Mar-2024,08:25:48.375,-18
10-Mar-2024,16:15:56.125,-18
11-Mar-2024,00:06:08.90625,-18
11-Mar-2024,07:56:20.46875,-18
11-Mar-2024,15:46:34.6875,-18
11-Mar-2024,23:36:44.71875,-18
12-Mar-2024,07:26:55.28125,-18
12-Mar-2024,15:17:02.5625,-18
12-Mar-2024,23:07:16.40625,-18
13-Mar-2024,06:57:33.46875,-18
13-Mar-2024,14:47:39.125,-18
13-Mar-2024,22:37:45.78125,-18
14-Mar-2024,06:27:58.84375,-18
14-Mar-2024,14:18:10.53125,-18
14-Mar-2024,19:53:03.59375,-18
14-Mar-2024,19:53:58.84375,Bad
14-Mar-2024,20:03:02.75,-18
15-Mar-2024,03:53:13.4375,-18
15-Mar-2024,11:43:19.03125,-18
15-Mar-2024,19:33:32.125,-18
16-Mar-2024,03:23:50.15625,-18
16-Mar-2024,11:14:03.5625,-18
16-Mar-2024,19:04:09.5,-18
17-Mar-2024,02:54:15.8125,-18
17-Mar-2024,10:44:27.84375,-18
17-Mar-2024,18:34:40.125,-18
18-Mar-2024,02:24:52.5,-18
18-Mar-2024,10:15:13.46875,-18
18-Mar-2024,18:05:25.1875,-18
19-Mar-2024,01:55:31.625,-18
19-Mar-2024,09:45:43.84375,-18
19-Mar-2024,17:36:02.4375,-18
20-Mar-2024,01:26:19.78125,-18
20-Mar-2024,09:16:35.9375,-18
20-Mar-2024,17:06:52.75,-18
21-Mar-2024,00:57:17.5625,-18
21-Mar-2024,08:47:38.40625,-18
21-Mar-2024,16:37:55.125,-18
22-Mar-2024,00:28:15.4375,-18
22-Mar-2024,04:21:46.78125,-18
22-Mar-2024,04:21:47.78125,-58
22-Mar-2024,12:12:10.1875,-58
22-Mar-2024,20:02:36.59375,-58
23-Mar-2024,03:52:54.65625,-58
23-Mar-2024,11:28:55.6875,-58
23-Mar-2024,19:19:15.84375,-58
24-Mar-2024,03:09:22.1875,-58
24-Mar-2024,10:59:41.53125,-58
24-Mar-2024,18:49:48.25,-58
25-Mar-2024,02:39:55.59375,-58
25-Mar-2024,10:30:09.34375,-58
25-Mar-2024,18:20:30.40625,-58
26-Mar-2024,02:10:40.78125,-58
26-Mar-2024,10:00:51.1875,-58
26-Mar-2024,17:51:09.75,-58
27-Mar-2024,01:41:15.875,-58
27-Mar-2024,09:31:34.40625,-58
27-Mar-2024,17:21:44.1875,-58
28-Mar-2024,01:12:01.59375,-58
28-Mar-2024,03:09:13,-58
28-Mar-2024,10:59:27.65625,-58
28-Mar-2024,18:49:41.875,-58
29-Mar-2024,02:39:53.40625,-58
29-Mar-2024,10:30:00.875,-58
29-Mar-2024,18:20:13.46875,-58
30-Mar-2024,02:10:26.65625,-58
30-Mar-2024,04:40:28.59375,-58
